trigram,repetation,polarity,sentiment
cured discharged new,2,0.13636363636363635,positive
discharged new recove,2,0.13636363636363635,positive
million covid vaccinations,2,0.0,neutral
covid vaccinations today,2,0.0,neutral
vaccinations today india,2,0.0,neutral
today india already,2,0.0,neutral
india already huge,2,0.4000000000000001,positive
ceven right track,2,0.2857142857142857,positive
right track run,2,0.2857142857142857,positive
track run sit,2,0.0,neutral
run sit n,2,0.0,neutral
coronavirus may infect,2,0.0,neutral
f ndeaths f,2,0.0,neutral
ndeaths f f,2,0.0,neutral
f f npos,2,0.0,neutral
wearamask f n,2,0.0,neutral
f n getvaccinated,2,0.0,neutral
n getvaccinated f,2,0.0,neutral
f dhow treat,2,0.0,neutral
dhow treat children,2,0.0,neutral
covid disease n,2,0.0,neutral
first wear mask,2,0.25,positive
wear mask n,2,0.0,neutral
mask n nin,2,0.0,neutral
n nin distribution,2,0.0,neutral
nin distribution drives,2,0.0,neutral
distribution drives people,2,0.0,neutral
drives people come,2,0.0,neutral
people come collect,2,0.0,neutral
cr covid vaccine,2,0.0,neutral
records new covid,2,0.13636363636363635,positive
cases last hrs,2,0.0,neutral
last hrs n,2,0.0,neutral
hrs n n,2,0.0,neutral
n n mask,2,0.0,neutral
nactive cases nto,2,0.0,neutral
hours n ntotal,2,0.0,neutral
n ntotal cases,2,0.0,neutral
covid update malkangiri,2,0.0,neutral
update malkangiri district,2,0.0,neutral
malkangiri district nno,2,0.0,neutral
district nno positive,2,0.22727272727272727,positive
nno positive cases,2,0.22727272727272727,positive
cases detected district,2,0.0,neutral
detected district requesting,2,0.0,neutral
coronavirusupdate coronaviruspandemic new,2,0.13636363636363635,positive
coronaviruspandemic new coronavirus,2,0.13636363636363635,positive
new coronavirus cases,2,0.13636363636363635,positive
coronavirus cases reduction,2,0.0,neutral
cases reduction active,2,-0.13333333333333333,negative
reduction active cases,2,-0.13333333333333333,negative
active cases recoveries,2,-0.13333333333333333,negative
indiafightscorona n n,2,0.0,neutral
india fight covid,2,0.0,neutral
india adult population,2,0.1,positive
mask stay safe,2,0.5,positive
n crore vaccination,2,0.0,neutral
f coronavirusupdates india,2,0.0,neutral
coronavirusupdates india reports,2,0.0,neutral
testing positive covid,2,0.22727272727272727,positive
fantastic achievement india,2,0.4,positive
achievement india beats,2,0.0,neutral
india beats world,2,0.0,neutral
beats world covid,2,0.0,neutral
world covid vaccination,2,0.0,neutral
covid vaccination front,2,0.0,neutral
vaccination front tin,2,0.0,neutral
delhi reports new,2,0.13636363636363635,positive
covid undone much,2,0.2,positive
undone much progress,2,0.2,positive
much progress made,2,0.2,positive
progress made latinamerica,2,0.0,neutral
made latinamerica caribbean,2,0.0,neutral
latinamerica caribbean countries,2,0.0,neutral
caribbean countries education,2,0.0,neutral
administered far india,2,0.1,positive
f e e,2,0.0,neutral
done till pm,2,0.0,neutral
india f e,2,0.0,neutral
yet n n,2,0.0,neutral
n n crore,2,0.0,neutral
india administered crore,2,0.0,neutral
last hours new,2,0.06818181818181818,positive
n n coronavirusupdates,2,0.0,neutral
n coronavirusupdates covid,2,0.0,neutral
population many countries,2,0.5,positive
rd wave covid,2,0.0,neutral
live f n,2,0.13636363636363635,positive
largestvaccinedrive nwomen braces,1,0.0,neutral
nwomen braces incessant,1,0.0,neutral
braces incessant rains,1,0.0,neutral
incessant rains que,1,0.0,neutral
rains que large,1,0.21428571428571427,positive
que large numbers,1,0.21428571428571427,positive
large numbers covid,1,0.21428571428571427,positive
numbers covid vaccination,1,0.0,neutral
covid vaccination camp,1,0.0,neutral
love thy neighbour,1,0.5,positive
thy neighbour thyself,1,0.0,neutral
neighbour thyself keep,1,0.0,neutral
thyself keep safe,1,0.5,positive
keep safe n,1,0.5,positive
safe n c,1,0.5,positive
n c e,1,0.0,neutral
c e n,1,0.0,neutral
e n guwahati,1,0.0,neutral
n guwahati assam,1,0.0,neutral
able leadership pm,1,0.5,positive
leadership pm ji,1,0.0,neutral
pm ji covid,1,0.0,neutral
ji covid vaccination,1,0.0,neutral
vaccination drive going,1,0.0,neutral
drive going steady,1,0.16666666666666666,positive
going steady pace,1,0.16666666666666666,positive
steady pace c,1,0.16666666666666666,positive
want future normal,1,0.075,positive
future normal nmake,1,0.075,positive
normal nmake pledge,1,0.15,positive
nmake pledge always,1,0.0,neutral
pledge always wear,1,0.0,neutral
always wear leeford,1,0.0,neutral
wear leeford n,1,0.0,neutral
leeford n mask,1,0.0,neutral
n mask outside,1,0.0,neutral
mask outside follow,1,0.0,neutral
outside follow smarter,1,0.0,neutral
new record f,1,0.13636363636363635,positive
record f nno,1,0.0,neutral
f nno government,1,0.0,neutral
nno government leadership,1,0.0,neutral
government leadership world,1,0.0,neutral
leadership world even,1,0.0,neutral
world even think,1,0.0,neutral
even think nthe,1,0.0,neutral
think nthe numbers,1,0.0,neutral
nthe numbers speak,1,0.0,neutral
numbers speak th,1,0.0,neutral
great welcome third,1,0.5333333333333333,positive
welcome third wave,1,0.4,positive
third wave coronavirus,1,0.0,neutral
wave coronavirus nban,1,0.0,neutral
coronavirus nban diwali,1,0.0,neutral
nban diwali ban,1,0.0,neutral
diwali ban temples,1,0.0,neutral
ban temples nbut,1,0.0,neutral
temples nbut conduct,1,0.0,neutral
imho ask wet,1,-0.1,negative
ask wet lease,1,-0.1,negative
wet lease local,1,-0.05,negative
lease local trains,1,0.0,neutral
local trains run,1,0.0,neutral
trains run best,1,1.0,positive
run best bu,1,1.0,positive
covid zero deaths,1,0.0,neutral
zero deaths new,1,0.13636363636363635,positive
deaths new infections,1,0.13636363636363635,positive
new infections hospitalised,1,0.13636363636363635,positive
infections hospitalised discharged,1,0.0,neutral
hospitalised discharged various,1,0.0,neutral
discharged various hospitals,1,0.0,neutral
various hospitals thursday,1,0.0,neutral
hospitals thursday tot,1,0.0,neutral
cabinet secretary rajivgauba,1,0.0,neutral
secretary rajivgauba chairs,1,0.0,neutral
rajivgauba chairs high,1,0.16,positive
response covid pr,1,0.0,neutral
icymi f f,1,0.0,neutral
f f beginning,1,0.0,neutral
f beginning third,1,0.0,neutral
beginning third wave,1,0.0,neutral
third wave fresh,1,0.15,positive
wave fresh covid,1,0.3,positive
covid cases drastically,1,0.0,neutral
cases drastically rising,1,0.0,neutral
drastically rising kerala,1,0.0,neutral
rising kerala maharashtra,1,0.0,neutral
kerala maharashtra f,1,0.0,neutral
maharashtra f f,1,0.0,neutral
f n nfull,1,0.0,neutral
n nfull story,1,0.0,neutral
response covid progress,1,0.0,neutral
covid progress vacc,1,0.0,neutral
finally got first,1,0.125,positive
got first ja,1,0.25,positive
first ja covid,1,0.25,positive
ja covid vaccine,1,0.0,neutral
covid vaccine today,1,0.0,neutral
vaccine today let,1,0.0,neutral
today let hope,1,0.0,neutral
let hope enough,1,0.0,neutral
hope enough us,1,0.0,neutral
enough us vaccinated,1,0.0,neutral
us vaccinated helps,1,0.0,neutral
vaccinated helps stop,1,0.0,neutral
helps stop spre,1,0.0,neutral
career trends september,1,0.0,neutral
trends september th,1,0.0,neutral
september th n,1,0.0,neutral
th n great,1,0.8,positive
n great realisation,1,0.8,positive
great realisation inspiring,1,0.65,positive
realisation inspiring people,1,0.5,positive
inspiring people seek,1,0.5,positive
people seek happiness,1,0.7,positive
seek happiness caree,1,0.7,positive
mumbai bmc latest,1,0.5,positive
bmc latest serosurvey,1,0.5,positive
latest serosurvey shows,1,0.5,positive
serosurvey shows per,1,0.0,neutral
shows per cent,1,0.0,neutral
per cent mumbai,1,0.0,neutral
cent mumbai population,1,0.0,neutral
mumbai population may,1,0.0,neutral
population may developed,1,0.1,positive
significant study show,1,0.375,positive
study show two,1,0.0,neutral
show two separate,1,0.0,neutral
two separate lineages,1,0.0,neutral
separate lineages two,1,0.0,neutral
lineages two spillove,1,0.0,neutral
let forget covid,1,0.0,neutral
forget covid yet,1,0.0,neutral
covid yet wherever,1,0.0,neutral
yet wherever make,1,0.0,neutral
wherever make sure,1,0.5,positive
make sure take,1,0.5,positive
sure take necessary,1,0.25,positive
